flightGUID,Name,Flight Date,Flight Time (local),Landing DateTime (local),Flight DateTime (UTC),Flight Time (UTC),Landing DateTime (UTC),Drone Name,Travelled Distance ( m),Duration,Duration (seconds),Project Reference
58AAAF21-5AA1-6609-84F9-C39AB78AEB3C,Flight 2024-05-07 15:20:43 KLF2021L01,5/7/2024 15:20,15:20:43,5/7/2024 15:52,5/7/2024 09:50,09:50:43,5/7/2024 10:22,Fighter F,36533,00:31:51,1911,Kandhamal Live Flights
DEDCC625-A9B0-0A58-B98C-B9F4D7FBA70F,Flight 2024-05-07 14:22:15 KLF2020L01,5/7/2024 14:22,14:22:15,5/7/2024 14:59,5/7/2024 08:52,08:52:15,5/7/2024 09:29,Bullet 2.1 India,35670,00:37:35,2255,Kandhamal Live Flights
339E742E-1CA9-1DFE-949A-B7F1DE17174C,Flight 2024-05-07 14:20:24 KLF2019L01,5/7/2024 14:20,14:20:24,5/7/2024 15:02,5/7/2024 08:50,08:50:24,5/7/2024 09:32,Fighter F,47232,00:42:03,2523,Kandhamal Live Flights
95226DAA-CF73-30C8-3D09-79DEFC55475F,Flight 2024-05-07 13:10:02 KLF2017L01,5/7/2024 13:10,13:10:02,5/7/2024 14:01,5/7/2024 07:40,07:40:02,5/7/2024 08:31,Bullet 2.1 India,47265,00:51:17,3077,Kandhamal Live Flights
7CB254BF-7E79-DA67-BB0A-26EFAC425B3D,Flight 2024-05-07 13:04:55 KLF2018L01,5/7/2024 13:04,13:04:55,5/7/2024 13:37,5/7/2024 07:34,07:34:55,5/7/2024 08:07,Fighter B,47207,00:32:13,1933,Kandhamal Live Flights
6E01D82A-0C53-E7DC-977A-13DFBAA729BD,Flight 2024-05-07 12:10:01 KLF2016L01,5/7/2024 12:10,12:10:01,5/7/2024 12:35,5/7/2024 06:40,06:40:01,5/7/2024 07:05,Fighter B,40223,00:25:28,1528,Kandhamal Live Flights
95AA81BE-F284-E6C7-E88B-4B14615681AF,Flight 2024-05-06 12:03:34 KLF2015L02,5/6/2024 12:03,12:03:34,5/6/2024 12:17,5/6/2024 06:33,06:33:34,5/6/2024 06:47,Fighter B,15679,00:13:33,813,Kandhamal Live Flights
74AE4D6B-4B34-A9F9-AB13-56E701F06D74,Flight 2024-05-06 11:39:20 KLF2015L01,5/6/2024 11:39,11:39:20,5/6/2024 11:53,5/6/2024 06:09,06:09:20,5/6/2024 06:23,Fighter B,13746,00:13:40,820,Kandhamal Live Flights
1DAF1332-2B9B-4067-58F8-D21B571EE68C,Flight 2024-05-04 18:36:36 KLF2007L02,5/4/2024 18:36,18:36:36,5/4/2024 19:16,5/4/2024 13:06,13:06:36,5/4/2024 13:46,Bullet 2.1 India,47221,00:40:16,2416,Kandhamal Live Flights
CF003C95-5F79-5587-A8D9-982020E8F720,Flight 2024-05-04 17:45:42 KLF2011L02,5/4/2024 17:45,17:45:42,5/4/2024 18:18,5/4/2024 12:15,12:15:42,5/4/2024 12:48,Bullet 2.1 India,39389,00:32:48,1968,Kandhamal Live Flights
469FC7B7-41DF-797D-861F-64F7C2E2A92B,Flight 2024-05-04 17:31:04 KLF2004L02,5/4/2024 17:31,17:31:04,5/4/2024 18:10,5/4/2024 12:01,12:01:04,5/4/2024 12:40,Fighter F,47186,00:39:32,2372,Kandhamal Live Flights
D35B4C92-30E2-E078-1282-109A9012B7E3,Flight 2024-05-04 16:39:27 KLF2014L02,5/4/2024 16:39,16:39:27,5/4/2024 16:56,5/4/2024 11:09,11:09:27,5/4/2024 11:26,Bullet 2.1 India,15596,00:17:03,1023,Kandhamal Live Flights
FA187557-EBBC-8F3A-2C5C-8523072CE1F2,Flight 2024-05-04 16:18:51 KLF2005L02,5/4/2024 16:18,16:18:51,5/4/2024 16:49,5/4/2024 10:48,10:48:51,5/4/2024 11:19,Fighter F,39387,00:30:52,1852,Kandhamal Live Flights
A19117BC-E12D-17CD-86E9-DCB89776A6A8,Flight 2024-05-04 15:46:53 KLF2014L01,5/4/2024 15:46,15:46:53,5/4/2024 16:00,5/4/2024 10:16,10:16:53,5/4/2024 10:30,Bullet 2.1 India,17873,00:13:53,833,Kandhamal Live Flights
1DC732C2-1939-E0DB-A8EB-C7516227D468,Flight 2024-05-04 13:31:46 KLF2013L02,5/4/2024 13:31,13:31:46,5/4/2024 13:55,5/4/2024 08:01,08:01:46,5/4/2024 08:25,Fighter F,22970,00:23:29,1409,Kandhamal Live Flights
738A916C-A7C6-4F69-014F-B317366199AE,Flight 2024-05-04 12:54:57 KLF2013L01,5/4/2024 12:54,12:54:57,5/4/2024 13:11,5/4/2024 07:24,07:24:57,5/4/2024 07:41,Fighter F,24815,00:16:58,1018,Kandhamal Live Flights
750BC2F7-5E62-CF63-D28B-967A058EF223,Flight 2024-05-04 12:14:42 KLF2012L02,5/4/2024 12:14,12:14:42,5/4/2024 12:29,5/4/2024 06:44,06:44:42,5/4/2024 06:59,Fighter B,15544,00:14:32,872,Kandhamal Live Flights
7C75A147-562F-85A5-DF09-B1A86F47F36F,Flight 2024-05-04 11:39:10 KLF2012L01,5/4/2024 11:39,11:39:10,5/4/2024 11:51,5/4/2024 06:09,06:09:10,5/4/2024 06:21,Fighter B,13743,00:12:07,727,Kandhamal Live Flights
E2851642-B957-F434-4A87-ED31DE9A2F86,Flight 2024-05-04 11:17:15 KLF2011L01,5/4/2024 11:17,11:17:15,5/4/2024 11:47,5/4/2024 05:47,05:47:15,5/4/2024 06:17,Bullet 2.1 India,35675,00:29:47,1787,Kandhamal Live Flights
926158DD-4734-C150-AE10-D39F5F246A03,Flight 2024-05-04 10:50:02 KLF2008L02,5/4/2024 10:50,10:50:02,5/4/2024 11:01,5/4/2024 05:20,05:20:02,5/4/2024 05:31,Fighter F,14026,00:11:23,683,Kandhamal Live Flights
811E3DAE-91A2-05B0-7C94-E27832DE392F,Flight 2024-05-04 10:42:35 KTF2010L01,5/4/2024 10:42,10:42:35,5/4/2024 11:10,5/4/2024 05:12,05:12:35,5/4/2024 05:40,Aeroswift AS04,29429,00:27:32,1652,Kandhamal Test Flights
07DFC7D9-310D-D48F-B227-3D46360384D8,Flight 2024-05-04 10:13:02 KLF2009L01,5/4/2024 10:13,10:13:02,5/4/2024 10:43,5/4/2024 04:43,04:43:02,5/4/2024 05:13,Fighter B,35662,00:30:30,1830,Kandhamal Live Flights
1D40927A-FCAA-9211-861E-2F6A75571B6E,Flight 2024-05-04 10:08:23 KLF2007L01,5/4/2024 10:08,10:08:23,5/4/2024 10:47,5/4/2024 04:38,04:38:23,5/4/2024 05:17,Bullet 2.1 India,47261,00:39:03,2343,Kandhamal Live Flights
